threshold,TN,FP,FN,TP,accuracy,precision,recall,specificity,f1,f0_5,balanced_accuracy,predicted_positive_rate,false_positive_rate,false_negative_rate
0.1559171672947105,11194,7497,1187,4122,0.63816666666666666,0.35476374903175834,0.77641740440760976,0.59889786528275646,0.4870037807183365,0.39799169643719223,0.68765763484518305,0.48412500000000003,0.4011021347172436,0.22358259559239027
0.15592318335487379,11195,7496,1187,4122,0.63820833333333338,0.35479428473059044,0.77641740440760976,0.59895136696805951,0.48703255154486913,0.39802244066356385,0.68768438568783463,0.48408333333333331,0.40104863303194049,0.22358259559239027
0.1559397569246902,11196,7495,1187,4122,0.63824999999999998,0.35482482568649393,0.77641740440760976,0.59900486865336255,0.4870613257710032,0.39805318964018771,0.68771113653048621,0.48404166666666665,0.40099513134663745,0.22358259559239027
0.15594669289095667,11197,7494,1187,4122,0.6382916666666667,0.35485537190082644,0.77641740440760976,0.59905837033866571,0.48709010339734121,0.39808394336816488,0.68773788737313768,0.48399999999999999,0.40094162966133434,0.22358259559239027
0.15595847992996953,11198,7493,1187,4122,0.63833333333333331,0.35488592337494618,0.77641740440760976,0.59911187202396876,0.48711888442448592,0.39811470184859665,0.68776463821578926,0.48395833333333332,0.40088812797603124,0.22358259559239027
0.15597234146130759,11199,7492,1187,4122,0.63837500000000003,0.35491648011021182,0.77641740440760976,0.59916537370927181,0.48714766885304023,0.39814546508258475,0.68779138905844084,0.48391666666666666,0.40083462629072814,0.22358259559239027
0.15597680030134492,11200,7491,1187,4122,0.63841666666666663,0.35494704210798245,0.77641740440760976,0.59921887539457497,0.48717645668360715,0.39817623307123123,0.68781813990109231,0.483875,0.40078112460542509,0.22358259559239027
0.15598728052736346,11201,7490,1187,4122,0.63845833333333335,0.35497760936961764,0.77641740440760976,0.59927237707987802,0.48720524791678976,0.39820700581563845,0.68784489074374389,0.48383333333333334,0.40072762292012198,0.22358259559239027
0.15599419034322101,11202,7489,1187,4122,0.63849999999999996,0.35500818189647748,0.77641740440760976,0.59932587876518106,0.48723404255319147,0.39823778331690918,0.68787164158639547,0.48379166666666668,0.40067412123481888,0.22358259559239027
0.15600678156930251,11203,7488,1187,4122,0.63854166666666667,0.35503875968992249,0.77641740440760976,0.59937938045048422,0.48726284059341568,0.39826856557614637,0.68789839242904693,0.48375000000000001,0.40062061954951583,0.22358259559239027
0.15602681983467639,11203,7488,1188,4121,0.63849999999999996,0.35498320268757,0.77622904501789414,0.59937938045048422,0.48717342475469916,0.3982027249009566,0.68780421273418924,0.48370833333333335,0.40062061954951583,0.22377095498210586
0.15602745922471767,11204,7487,1188,4121,0.63854166666666667,0.35501378359751895,0.77622904501789414,0.59943288213578727,0.48720222261630314,0.39823350920933109,0.6878309635768407,0.48366666666666669,0.40056711786421273,0.22377095498210586
0.15603443074085205,11205,7486,1188,4121,0.63858333333333328,0.35504436977685877,0.77622904501789414,0.59948638382109032,0.48723102388271461,0.39826429827782822,0.68785771441949217,0.48362500000000003,0.40051361617890963,0.22377095498210586
0.1560398266781049,11206,7485,1188,4121,0.638625,0.35507496122695159,0.77622904501789414,0.59953988550639348,0.48725982855453737,0.39829509210755226,0.68788446526214386,0.48358333333333331,0.40046011449360652,0.22377095498210586
0.15604149857765695,11207,7484,1188,4121,0.63866666666666672,0.35510555794915982,0.77622904501789414,0.59959338719169653,0.48728863663237554,0.39832589069960755,0.68791121610479533,0.48354166666666665,0.40040661280830347,0.22377095498210586
0.15604438983222671,11207,7484,1189,4120,0.638625,0.35504998276456395,0.77604068562817852,0.59959338719169653,0.4871991958848223,0.39826002899951668,0.68781703640993752,0.48349999999999999,0.40040661280830347,0.22395931437182143
0.15606129528580584,11208,7483,1189,4120,0.63866666666666672,0.35508058260794623,0.77604068562817852,0.59964688887699957,0.48722800378429515,0.39829082964366502,0.6878437872525891,0.48345833333333332,0.40035311112300037,0.22395931437182143
0.15606144161279625,11209,7482,1189,4120,0.63870833333333332,0.35511118772625411,0.77604068562817852,0.59970039056230273,0.48725681509076935,0.39832163505230389,0.68787053809524057,0.48341666666666666,0.40029960943769727,0.22395931437182143
0.156078216453021,11209,7482,1190,4119,0.63866666666666672,0.35505559865528835,0.77585232623846301,0.59970039056230273,0.4871673565937315,0.39825575773983329,0.68777635840038287,0.483375,0.40029960943769727,0.22414767376153702
0.15609147490295622,11210,7481,1190,4119,0.63870833333333332,0.35508620689655174,0.77585232623846301,0.59975389224760578,0.48719616772133184,0.39828656520141559,0.68780310924303434,0.48333333333333334,0.40024610775239422,0.22414767376153702
0.15609717806145826,11211,7480,1190,4119,0.63875000000000004,0.35511682041555309,0.77585232623846301,0.59980739393290894,0.48722498225691979,0.39831737742964896,0.68782986008568603,0.48329166666666667,0.40019260606709112,0.22414767376153702
0.15609843706749896,11212,7479,1190,4119,0.63879166666666665,0.35514743921365755,0.77585232623846301,0.59986089561821199,0.48725380020110015,0.39834819442563973,0.6878566109283375,0.48325000000000001,0.40013910438178801,0.22414767376153702
0.15611508994000262,11213,7478,1190,4119,0.63883333333333336,0.35517806329223073,0.77585232623846301,0.59991439730351503,0.48728262155447771,0.39837901619049459,0.68788336177098897,0.48320833333333335,0.40008560269648497,0.22414767376153702
0.15612174356637959,11214,7477,1190,4119,0.63887499999999997,0.35520869265263882,0.77585232623846301,0.59996789898881819,0.48731144631765749,0.39840984272532065,0.68791011261364066,0.48316666666666669,0.40003210101118186,0.22414767376153702
0.15614622052015148,11215,7476,1190,4119,0.63891666666666669,0.35523932729624841,0.77585232623846301,0.60002140067412124,0.48734027449124467,0.39844067403122524,0.68793686345629212,0.48312500000000003,0.39997859932587876,0.22414767376153702
0.15615994942912859,11216,7475,1190,4119,0.63895833333333329,0.35526996722442644,0.77585232623846301,0.60007490235942429,0.48736910607584455,0.39847151010931603,0.68796361429894359,0.48308333333333331,0.39992509764057566,0.22414767376153702
0.15616882063284343,11217,7474,1190,4119,0.63900000000000001,0.3553006124385405,0.77585232623846301,0.60012840404472745,0.48739794107206247,0.39850235096070125,0.68799036514159528,0.48304166666666665,0.39987159595527261,0.22414767376153702
0.15620675113648166,11218,7473,1190,4119,0.63904166666666662,0.35533126293995859,0.77585232623846301,0.6001819057300305,0.48742677948050411,0.39853319658648917,0.68801711598424675,0.48299999999999998,0.3998180942699695,0.22414767376153702
0.15620687455626547,11219,7472,1190,4119,0.63908333333333334,0.35536191873004919,0.77585232623846301,0.60023540741533354,0.48745562130177517,0.39856404698778858,0.68804386682689822,0.48295833333333332,0.3997645925846664,0.22414767376153702
0.1562072692985863,11219,7472,1191,4118,0.63904166666666662,0.35530629853321827,0.77566396684874739,0.60023540741533354,0.48736611633824489,0.39849813234241033,0.68794968713204052,0.48291666666666666,0.3997645925846664,0.22433603315125258
0.15621073813041458,11219,7472,1192,4117,0.63900000000000001,0.35525066873759598,0.77547560745903188,0.60023540741533354,0.48727660078115753,0.39843220749056424,0.68785550743718271,0.482875,0.3997645925846664,0.22452439254096818
0.15624853909143935,11220,7471,1192,4117,0.63904166666666662,0.35528132550914737,0.77547560745903188,0.6002889091006367,0.4873054388352962,0.39846305723853587,0.68788225827983429,0.48283333333333334,0.39971109089936335,0.22452439254096818
0.15625181828540988,11220,7471,1193,4116,0.63900000000000001,0.35522568395615778,0.77528724806931626,0.6002889091006367,0.48721590909090912,0.39839711946106043,0.68778807858497648,0.48279166666666667,0.39971109089936335,0.22471275193068374
0.1562596834772538,11220,7471,1194,4115,0.63895833333333329,0.35517003279820475,0.77509888867960064,0.6002889091006367,0.48712636874815035,0.39833117147116331,0.68769389889011867,0.48275000000000001,0.39971109089936335,0.22490111132039933
0.1562681959895254,11220,7471,1195,4114,0.63891666666666669,0.35511437203280105,0.77491052928988513,0.6002889091006367,0.48703681780513791,0.39826521326647174,0.68759971919526097,0.48270833333333335,0.39971109089936335,0.2250894707101149
0.1562954857389941,11220,7471,1196,4113,0.63887499999999997,0.35505870165745856,0.77472216990016951,0.6002889091006367,0.48694725625998936,0.39819924484461228,0.68750553950040305,0.48266666666666669,0.39971109089936335,0.22527783009983049
0.15629855961078581,11221,7470,1196,4113,0.63891666666666669,0.35508935508935507,0.77472216990016951,0.60034241078593975,0.48697608335306652,0.39823008849557523,0.68753229034305463,0.48262500000000003,0.39965758921406025,0.22527783009983049
0.15631956201021183,11222,7469,1196,4113,0.63895833333333329,0.35512001381453978,0.77472216990016951,0.6003959124712428,0.48700491385945177,0.39826093692507308,0.68755904118570621,0.48258333333333331,0.39960408752875715,0.22527783009983049
0.15632422168980153,11223,7468,1196,4113,0.63900000000000001,0.35515067783438392,0.77472216990016951,0.60044941415654596,0.48703374777975134,0.39829179013421651,0.68758579202835768,0.48254166666666665,0.39955058584345404,0.22527783009983049
0.15634922980172314,11224,7467,1196,4113,0.63904166666666662,0.35518134715025906,0.77472216990016951,0.60050291584184901,0.48706258511457162,0.39832264812411627,0.68761254287100926,0.48249999999999998,0.39949708415815099,0.22527783009983049
0.15634963514226866,11225,7466,1196,4113,0.63908333333333334,0.35521202176353744,0.77472216990016951,0.60055641752715205,0.4870914258645192,0.39835351089588378,0.68763929371366084,0.48245833333333332,0.39944358247284789,0.22527783009983049
0.15635293641655543,11226,7465,1196,4113,0.63912500000000005,0.35524270167559163,0.77472216990016951,0.60060991921245521,0.48712027003020075,0.39838437845063057,0.68766604455631231,0.48241666666666666,0.39939008078754479,0.22527783009983049
0.15635479012184042,11226,7465,1197,4112,0.63908333333333334,0.35518700872419451,0.774533810510454,0.60060991921245521,0.48703067629989338,0.39831838347831139,0.68757186486145461,0.482375,0.39939008078754479,0.22546618948954605
0.15636831293494427,11227,7464,1197,4112,0.63912500000000005,0.35521769177608847,0.774533810510454,0.60066342089775826,0.48705952028427596,0.39834925309515046,0.68759861570410608,0.48233333333333334,0.39933657910224174,0.22546618948954605
