fold,k,metric,weights,accuracy,precision,recall,specificity,f1,balanced_accuracy,roc_auc,average_precision,TN,FP,FN,TP
2,7,euclidean,distance,0.80354166666666671,0.58893871449925261,0.37099811676082861,0.92643124665596577,0.45522819179664936,0.64871468170839719,0.72377357701581657,0.48072361642514183,3463,275,668,394
2,9,euclidean,distance,0.80708333333333337,0.60303030303030303,0.37476459510357818,0.92990904226859283,0.46225319396051101,0.65233681868608551,0.73462814843028124,0.49302009870689462,3476,262,664,398
2,11,euclidean,distance,0.81291666666666662,0.62893081761006286,0.37664783427495291,0.93686463349384697,0.47114252061248529,0.65675623388439996,0.73977115973878504,0.49636114184451802,3502,236,662,400
2,13,euclidean,distance,0.81166666666666665,0.62700964630225076,0.3672316384180791,0.93793472445157844,0.46318289786223277,0.65258318143482874,0.74224952364830477,0.50036927430081357,3506,232,672,390
2,15,euclidean,distance,0.81291666666666662,0.63183279742765275,0.37005649717514122,0.93873729266987693,0.4667458432304038,0.65439689492250908,0.7471792976696805,0.50430981951369203,3509,229,669,393
2,17,euclidean,distance,0.81479166666666669,0.64297520661157026,0.36629001883239171,0.942215088282504,0.46670665866826633,0.65425255355744782,0.75007028139764775,0.50627692320319118,3522,216,673,389
2,19,euclidean,distance,0.81604166666666667,0.64991624790619762,0.36534839924670431,0.94408774745853397,0.46775165762507537,0.65471807335261911,0.74904729660966574,0.50843322787517686,3529,209,674,388
2,21,euclidean,distance,0.81520833333333331,0.64906303236797269,0.35875706214689268,0.94489031567683257,0.46209824135839905,0.6518236889118626,0.75034158270684648,0.50912711846229197,3532,206,681,381
2,23,euclidean,distance,0.81479166666666669,0.64939550949913649,0.35404896421845572,0.94569288389513106,0.45825716026812918,0.64987092405679336,0.75013879946273765,0.51142629454730515,3535,203,686,376
2,25,euclidean,distance,0.81604166666666667,0.65247018739352636,0.36064030131826741,0.9454253611556982,0.46452395391146151,0.65303283123698286,0.75213262477593079,0.51303005573227178,3534,204,679,383
2,27,euclidean,distance,0.81791666666666663,0.66040955631399323,0.36440677966101692,0.94676297485286254,0.4696601941747573,0.6555848772569397,0.75541494237933005,0.51542300592713919,3539,199,675,387
2,29,euclidean,distance,0.81729166666666664,0.65866209262435682,0.3615819209039548,0.94676297485286254,0.46686930091185408,0.65417244787840867,0.7548612559562855,0.5163831704393429,3539,199,678,384
2,31,euclidean,distance,0.81833333333333336,0.66435986159169547,0.3615819209039548,0.94810058855002677,0.4682926829268293,0.65484125472699084,0.7577362437389098,0.51798807905488153,3544,194,678,384
2,1,manhattan,uniform,0.73520833333333335,0.40075973409306742,0.39736346516007531,0.83119315141787053,0.39905437352245865,0.6142783082889729,0.6142783082889729,0.292580609969185,3107,631,640,422
2,3,manhattan,uniform,0.77749999999999997,0.4962686567164179,0.37570621468926552,0.891653290529695,0.42765273311897106,0.63367975260948028,0.68766417885633269,0.38164216817890195,3333,405,663,399
