k,metric,weights,accuracy_mean,accuracy_std,accuracy_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,specificity_mean,specificity_std,specificity_count,f1_mean,f1_std,f1_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,roc_auc_mean,roc_auc_std,roc_auc_count,average_precision_mean,average_precision_std,average_precision_count
21,euclidean,distance,0.81166666666666676,0.0041562369465125062,5,0.63858477291931703,0.016377016138598259,5,0.34224756874000473,0.013820239933880289,5,0.94500008657462276,0.002532660914770397,5,0.44559674355341905,0.015032515631693591,5,0.64362382765731385,0.00742398448155059,5,0.7440839499963906,0.0044856143069316474,5,0.50567251757934828,0.013303088104985299,5
23,euclidean,distance,0.81208333333333338,0.0033689503393325455,5,0.64141341818526709,0.013766959702723573,5,0.34130523916782485,0.011433457164976424,5,0.94580261186335635,0.0024754261658022809,5,0.44548275912139979,0.012173288512506417,5,0.64355392551559054,0.0059975021825687154,5,0.74509575115668181,0.0042251907992622651,5,0.50756066639031139,0.01215057461358276,5
25,euclidean,distance,0.81270833333333337,0.0033039065681570207,5,0.64433121062475407,0.014458566123745093,5,0.34243536016727283,0.012237352432987729,5,0.94628403831549535,0.0031671577427639336,5,0.44710621392509964,0.012133016770690617,5,0.64435969924138414,0.0060141533356932271,5,0.74689218819083547,0.0049005943791228046,5,0.50932966021744375,0.012994737694927498,5
27,euclidean,distance,0.81316666666666682,0.0043135566338386123,5,0.64753186254595918,0.017260703076446296,5,0.34092947881666552,0.015036928299315069,5,0.94730061041548519,0.0028549544696283556,5,0.44659823533567122,0.015944521472712591,5,0.64411504461607527,0.0078820057728154515,5,0.74843970917809677,0.0053814968964816263,5,0.51043865815933476,0.012109994651548717,5
29,euclidean,distance,0.81333333333333324,0.0041718717488543056,5,0.64916777624995858,0.017427747340948593,5,0.33979918032059436,0.014422091693767928,5,0.94783559865493083,0.0031074870473246116,5,0.44600534443546558,0.015203960819937247,5,0.64381738948776257,0.0074944695269514106,5,0.74878592792091958,0.0052658564019993906,5,0.51135653403805537,0.011494486883354346,5
31,euclidean,distance,0.81395833333333323,0.004564354645876372,5,0.65295915812277794,0.018698967220000497,5,0.33923403107255884,0.015458755476255033,5,0.94879866620703412,0.0030226860651151374,5,0.44641342405985152,0.016678713636809745,5,0.64401634863979651,0.0081897339824260739,5,0.75018538168458715,0.0058076878433180844,5,0.51370299738732927,0.011541147570754043,5
1,manhattan,uniform,0.72808333333333342,0.0069914382163710417,5,0.38664145879782569,0.014169682151363498,5,0.39046825384147066,0.014945999988880354,5,0.8239791385209706,0.0074541306179487492,5,0.38848433806411276,0.01351825840843522,5,0.60722369618122063,0.0086976612012985392,5,0.60722369618122074,0.0086976612012985045,5,0.28592690913086583,0.0074641840851815393,5
3,manhattan,uniform,0.77224999999999999,0.0052091666000106656,5,0.48036381419358226,0.015488243445664837,5,0.35825794164266023,0.012848226009030366,5,0.88983951640703585,0.0059128098099743964,5,0.41032572322116367,0.012207513364108859,5,0.62404872902484798,0.0068136808697130359,5,0.67262698283904654,0.009363115162560838,5,0.36648808038115804,0.01155181152553319,5
5,manhattan,uniform,0.7902083333333334,0.0044852187795023039,5,0.54052802279997092,0.015482067075252076,5,0.34356459368360515,0.018330563861750172,5,0.91707202908449403,0.0039900723491621045,5,0.41997390929527489,0.017140287497080617,5,0.6303183113840497,0.0088956449245459392,5,0.69945166484425148,0.0082696882356729836,5,0.41069193478533261,0.012459542191352575,5
7,manhattan,uniform,0.79770833333333324,0.0059237780033803674,5,0.57382147518018001,0.02218807652671418,5,0.33169912192420536,0.019887506312463291,5,0.93007299027745527,0.0038114962667214702,5,0.42028639915623273,0.021014764149976009,5,0.63088605610083026,0.010598286350998416,5,0.71443596526829278,0.0087631583412614705,5,0.4349026508351887,0.013860162588726145,5
