threshold,TP,TN,FP,FN,accuracy,precision,recall,specificity,f1,balanced_accuracy,predicted_positive_rate,false_positive_rate,false_negative_rate
0.1117049172469974,4489,7647,11044,820,0.50566666666666671,0.28899761797463464,0.84554530043322662,0.40912738751270666,0.43076480184243354,0.62733634397296667,0.64720833333333339,0.59087261248729339,0.15445469956677338
0.11170852090722752,4488,7647,11044,821,0.50562499999999999,0.28895184135977336,0.845356941043511,0.40912738751270666,0.43068950626169572,0.62724216427810886,0.64716666666666667,0.59087261248729339,0.154643058956489
0.11171131718545678,4488,7648,11043,821,0.50566666666666671,0.28897044620436546,0.845356941043511,0.40918088919800971,0.43071017274472168,0.62726891512076033,0.64712499999999995,0.59081911080199023,0.154643058956489
0.11171902971931467,4488,7649,11042,821,0.50570833333333332,0.28898905344494524,0.845356941043511,0.40923439088331282,0.43073084121119054,0.62729566596341191,0.64708333333333334,0.59076560911668718,0.154643058956489
0.11172241579184665,4488,7650,11041,821,0.50575000000000003,0.28900766308197567,0.845356941043511,0.40928789256861592,0.43075151166138786,0.62732241680606349,0.64704166666666663,0.59071210743138414,0.154643058956489
0.11172580570087048,4488,7651,11040,821,0.50579166666666664,0.28902627511591961,0.845356941043511,0.40934139425391902,0.4307721840955992,0.62734916764871507,0.64700000000000002,0.59065860574608098,0.154643058956489
0.11175422379468365,4488,7652,11039,821,0.50583333333333336,0.28904488954724028,0.845356941043511,0.40939489593922207,0.4307928585141102,0.62737591849136654,0.6469583333333333,0.59060510406077793,0.154643058956489
0.1117624175046994,4488,7653,11038,821,0.50587499999999996,0.28906350637640088,0.845356941043511,0.40944839762452517,0.43081353491720664,0.62740266933401811,0.6469166666666667,0.59055160237547488,0.154643058956489
0.11176877797908361,4488,7654,11037,821,0.50591666666666668,0.28908212560386476,0.845356941043511,0.40950189930982828,0.43083421330517424,0.62742942017666969,0.64687499999999998,0.59049810069017172,0.154643058956489
0.11177465091611426,4488,7655,11036,821,0.50595833333333329,0.28910074723009532,0.845356941043511,0.40955540099513132,0.43085489367829888,0.62745617101932116,0.64683333333333337,0.59044459900486868,0.154643058956489
0.1117959050278558,4488,7656,11035,821,0.50600000000000001,0.28911937125555626,0.845356941043511,0.40960890268043443,0.43087557603686638,0.62748292186197274,0.64679166666666665,0.59039109731956563,0.154643058956489
0.11179873197447808,4488,7657,11034,821,0.50604166666666661,0.28913799768071125,0.845356941043511,0.40966240436573753,0.43089626038116269,0.62750967270462432,0.64675000000000005,0.59033759563426247,0.154643058956489
0.11181299591132388,4487,7657,11034,822,0.50600000000000001,0.28909219766767608,0.84516858165379549,0.40966240436573753,0.43082093134901583,0.62741549300976651,0.64670833333333333,0.59033759563426247,0.15483141834620451
0.11181467193007599,4487,7658,11033,822,0.50604166666666661,0.28911082474226807,0.84516858165379549,0.40971590605104063,0.43084161505593166,0.62744224385241809,0.64666666666666661,0.59028409394895931,0.15483141834620451
0.11182537299318594,4487,7659,11032,822,0.50608333333333333,0.28912945421741093,0.84516858165379549,0.40976940773634368,0.43086230074899173,0.62746899469506956,0.64662500000000001,0.59023059226365637,0.15483141834620451
0.11183171888951829,4487,7660,11031,822,0.50612500000000005,0.28914808609356873,0.84516858165379549,0.40982290942164679,0.43088298842848227,0.62749574553772114,0.64658333333333329,0.59017709057835321,0.15483141834620451
0.11183602320526906,4487,7661,11030,822,0.50616666666666665,0.28916672037120578,0.84516858165379549,0.40987641110694989,0.43090367809468932,0.62752249638037272,0.64654166666666668,0.59012358889305006,0.15483141834620451
0.11184278212099577,4487,7662,11029,822,0.50620833333333337,0.2891853570507863,0.84516858165379549,0.40992991279225294,0.43092436974789916,0.62754924722302419,0.64649999999999996,0.59007008720774712,0.15483141834620451
0.11186325581108393,4487,7663,11028,822,0.50624999999999998,0.28920399613277475,0.84516858165379549,0.40998341447755604,0.430945063388398,0.62757599806567577,0.64645833333333336,0.59001658552244396,0.15483141834620451
0.11188434741749002,4487,7664,11027,822,0.5062916666666667,0.28922263761763567,0.84516858165379549,0.41003691616285914,0.43096575901647216,0.62760274890832735,0.64641666666666664,0.5899630838371408,0.15483141834620451
0.11188499646437507,4487,7665,11026,822,0.5063333333333333,0.28924128150583384,0.84516858165379549,0.41009041784816219,0.43098645663240803,0.62762949975097881,0.64637500000000003,0.58990958215183786,0.15483141834620451
0.11188638606215442,4487,7666,11025,822,0.50637500000000002,0.28925992779783394,0.84516858165379549,0.4101439195334653,0.431007156236492,0.62765625059363039,0.64633333333333332,0.5898560804665347,0.15483141834620451
0.11189688859449459,4487,7667,11024,822,0.50641666666666663,0.28927857649410094,0.84516858165379549,0.4101974212187684,0.43102785782901054,0.62768300143628197,0.64629166666666671,0.58980257878123155,0.15483141834620451
0.11190016378497321,4487,7668,11023,822,0.50645833333333334,0.28929722759509996,0.84516858165379549,0.4102509229040715,0.43104856141025027,0.62770975227893344,0.64624999999999999,0.5897490770959285,0.15483141834620451
0.1119075020853216,4487,7669,11022,822,0.50649999999999995,0.28931588110129602,0.84516858165379549,0.41030442458937455,0.43106926698049763,0.62773650312158502,0.64620833333333338,0.58969557541062545,0.15483141834620451
0.11190933577808425,4487,7670,11021,822,0.50654166666666667,0.28933453701315448,0.84516858165379549,0.41035792627467765,0.43108997454003939,0.6277632539642366,0.64616666666666667,0.58964207372532229,0.15483141834620451
0.11191336301518245,4487,7671,11020,822,0.50658333333333339,0.28935319533114079,0.84516858165379549,0.41041142795998076,0.4311106840891622,0.62779000480688807,0.64612499999999995,0.58958857204001924,0.15483141834620451
0.11192820160620118,4486,7671,11020,823,0.50654166666666667,0.28930736489100994,0.84498022226407987,0.41041142795998076,0.43103531107374488,0.62769582511203037,0.64608333333333334,0.58958857204001924,0.15501977773592013
0.11195464111753151,4486,7672,11019,823,0.50658333333333339,0.28932602386326989,0.84498022226407987,0.4104649296452838,0.43105601998654752,0.62772257595468184,0.64604166666666663,0.5895350703547162,0.15501977773592013
0.11197430997729343,4486,7673,11018,823,0.50662499999999999,0.28934468524251805,0.84498022226407987,0.41051843133058691,0.431076730889348,0.62774932679733342,0.64600000000000002,0.58948156866941304,0.15501977773592013
0.11197714733124273,4486,7674,11017,823,0.50666666666666671,0.28936334902922017,0.84498022226407987,0.41057193301589001,0.4310974437824332,0.627776077639985,0.6459583333333333,0.58942806698410999,0.15501977773592013
0.11199225423963184,4486,7675,11016,823,0.50670833333333332,0.2893820152238421,0.84498022226407987,0.41062543470119311,0.43111815866609005,0.62780282848263647,0.64591666666666669,0.58937456529880694,0.15501977773592013
0.11199670511468889,4486,7676,11015,823,0.50675000000000003,0.28940068382684986,0.84498022226407987,0.41067893638649616,0.43113887554060548,0.62782957932528805,0.64587499999999998,0.58932106361350378,0.15501977773592013
0.11200609131483456,4486,7677,11014,823,0.50679166666666664,0.28941935483870967,0.84498022226407987,0.41073243807179927,0.4311595944062665,0.62785633016793962,0.64583333333333337,0.58926756192820073,0.15501977773592013
0.11201847664495643,4486,7678,11013,823,0.50683333333333336,0.28943802825988774,0.84498022226407987,0.41078593975710237,0.43118031526336026,0.62788308101059109,0.64579166666666665,0.58921406024289769,0.15501977773592013
0.11202296011209929,4486,7679,11012,823,0.50687499999999996,0.28945670409085045,0.84498022226407987,0.41083944144240542,0.43120103811217381,0.62790983185324267,0.64575000000000005,0.58916055855759453,0.15501977773592013
0.11202740481339653,4486,7680,11011,823,0.50691666666666668,0.28947538233206427,0.84498022226407987,0.41089294312770852,0.4312217629529943,0.62793658269589425,0.64570833333333333,0.58910705687229148,0.15501977773592013
0.11203012076054863,4486,7681,11010,823,0.50695833333333329,0.28949406298399588,0.84498022226407987,0.41094644481301162,0.43124248978610913,0.62796333353854572,0.64566666666666672,0.58905355518698843,0.15501977773592013
0.11203862070299968,4486,7682,11009,823,0.50700000000000001,0.28951274604711197,0.84498022226407987,0.41099994649831467,0.43126321861180544,0.6279900843811973,0.645625,0.58900005350168527,0.15501977773592013
0.11203959587492253,4486,7683,11008,823,0.50704166666666661,0.28953143152187943,0.84498022226407987,0.41105344818361778,0.43128394943037063,0.62801683522384888,0.64558333333333329,0.58894655181638222,0.15501977773592013
0.11204191950216676,4485,7683,11008,824,0.50700000000000001,0.28948557413025239,0.84479186287436425,0.41105344818361778,0.43120853764061146,0.62792265552899096,0.64554166666666668,0.58894655181638222,0.15520813712563575
0.11205069161364689,4485,7684,11007,824,0.50704166666666661,0.28950426026336173,0.84479186287436425,0.41110694986892088,0.43122926782366233,0.62794940637164254,0.64549999999999996,0.58889305013107918,0.15520813712563575
0.11205102567155324,4484,7684,11007,825,0.50700000000000001,0.28945839519721128,0.84460350348464874,0.41110694986892088,0.43115384615384617,0.62785522667678484,0.64545833333333336,0.58889305013107918,0.15539649651535126
