stage,outer_fold,inner_fold,configuration_id,row_type,validation_rows,average_precision,roc_auc,oof_average_precision,oof_roc_auc,selected_threshold,accuracy,precision,recall,specificity,f1,balanced_accuracy,TP,TN,FP,FN,predicted_positive_rate,k,selected
1,3,1,k75__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.5151450740499377,0.75398946119106547,,,,,,,,,,,,,,,,
1,3,1,k101__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51478010423262621,0.75470070610133222,,,,,,,,,,,,,,,,
1,3,2,k13__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.48614447371402408,0.73587974456112637,,,,,,,,,,,,,,,,
1,3,2,k19__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.4977319291300209,0.7414088784675934,,,,,,,,,,,,,,,,
1,3,2,k25__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.5023345302613067,0.74504565740312501,,,,,,,,,,,,,,,,
1,3,2,k31__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50337026986693134,0.74549554336588952,,,,,,,,,,,,,,,,
1,3,2,k35__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.504450389799314,0.74573911941943005,,,,,,,,,,,,,,,,
1,3,2,k51__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.50791736809854704,0.74830481552266692,,,,,,,,,,,,,,,,
1,3,2,k75__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.51264221657265652,0.75218885461726115,,,,,,,,,,,,,,,,
1,3,2,k101__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.513708106975719,0.75435340830771436,,,,,,,,,,,,,,,,
1,3,3,k13__money-standard__pay-raw__blocks-none__payw-1,fold,6400,0.48233330248230671,0.73444800833596191,,,,,,,,,,,,,,,,
